City_ID,City,Country,Max Temp,Current Description,Lat,Lng
0,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575
1,Atuona,PF,77.07,light rain,-9.8,-139.0333
2,Mareeba,AU,68.72,broken clouds,-17,145.4333
3,Rikitea,PF,72.03,light rain,-23.1203,-134.9692
4,La Libertad,EC,70.45,overcast clouds,-2.2333,-80.9
5,Shiyan,CN,71.4,light rain,32.6475,110.7781
6,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679
7,Vaini,TO,73.56,broken clouds,-21.2,-175.2
8,Cape Town,ZA,69.35,clear sky,-33.9258,18.4232
9,Tukrah,LY,79.99,few clouds,32.5341,20.5791
10,Avarua,CK,66.25,overcast clouds,-21.2078,-159.775
11,Machala,EC,74.21,overcast clouds,-3.2667,-79.9667
12,Wheeling,US,69.4,clear sky,42.1392,-87.929
13,Weinan,CN,68.02,broken clouds,34.5036,109.5089
14,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167
15,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345
16,Hilo,US,78.28,clear sky,19.7297,-155.09
17,Darnah,LY,78.26,clear sky,32.767,22.6367
18,Grand Gaube,MU,74.37,scattered clouds,-20.0064,57.6608
19,Lagoa,PT,71.37,clear sky,39.05,-27.9833
20,Sambava,MG,73.17,light rain,-14.2667,50.1667
21,Puerto Ayora,EC,70.3,overcast clouds,-0.7393,-90.3518
22,Padang,ID,73.45,moderate rain,-0.9492,100.3543
23,Torbay,CA,65.75,scattered clouds,47.6666,-52.7314
24,Kapaa,US,76.12,scattered clouds,22.0752,-159.319
25,Sao Jose Da Coroa Grande,BR,79.41,broken clouds,-8.8978,-35.1478
26,San Vicente,AR,78.89,scattered clouds,-26.6167,-54.1333
27,Kieta,PG,79.48,moderate rain,-6.2167,155.6333
28,Katsuura,JP,74.1,overcast clouds,35.1333,140.3
29,Saint-Joseph,RE,73.78,scattered clouds,-21.3667,55.6167
30,Ponta Do Sol,PT,77.13,clear sky,32.6667,-17.1
31,Yining,CN,70.66,light rain,29.0361,114.5636
32,Ixtapa,MX,78.22,broken clouds,20.7,-105.2
33,Maryville,US,73.08,few clouds,35.7565,-83.9705
34,Seoul,KR,67.39,scattered clouds,37.5683,126.9778
35,Hamilton,US,68.74,few clouds,39.1834,-84.5333
36,Namibe,AO,70.27,few clouds,-15.1961,12.1522
37,Porto Calvo,BR,79.95,broken clouds,-9.045,-35.3983
38,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7
39,Rizhao,CN,68.97,light rain,35.4275,119.4553
40,Puerto Baquerizo Moreno,EC,69.75,overcast clouds,-0.9,-89.6
41,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333
42,Ojinaga,MX,68.95,clear sky,29.5667,-104.4167
43,Castro,BR,77.02,moderate rain,-24.7911,-50.0119
44,Muros,ES,71.69,overcast clouds,42.7762,-9.0603
45,Akot,IN,77.9,broken clouds,21.0964,77.0586
46,Port-De-Bouc,FR,79.02,clear sky,43.4,4.9833
47,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333
48,Bud,US,69.12,clear sky,39.447,-86.1758
49,Shenjiamen,CN,76.98,overcast clouds,29.9576,122.298
50,Faanui,PF,78.33,few clouds,-16.4833,-151.75
51,Alofi,NU,77.25,few clouds,-19.0595,-169.9187
52,Cidreira,BR,66,overcast clouds,-30.1811,-50.2056
53,Korla,CN,74.3,overcast clouds,41.7597,86.1469
54,Requena,ES,73.49,broken clouds,39.4883,-1.1004
55,Presidencia Roque Saenz Pena,AR,68.49,overcast clouds,-26.7852,-60.4388
56,Marawi,PH,70.65,overcast clouds,7.9986,124.2928
57,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333
58,Biak,ID,76.66,overcast clouds,-0.9131,122.8766
59,Praia Da Vitoria,PT,75.76,few clouds,38.7333,-27.0667
60,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556
61,Mayo,US,65.08,clear sky,38.8876,-76.5119
62,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189
63,Catalina,US,69.22,clear sky,32.5056,-110.9211
64,Kinablangan,PH,79.75,overcast clouds,7.6947,126.5503
65,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7
66,Changping,CN,69.44,light rain,40.2186,116.2197
67,Abha,SA,70.05,scattered clouds,18.2164,42.5053
68,La Roche-Sur-Yon,FR,66.56,clear sky,46.6667,-1.4333
69,Sibolga,ID,76.71,light rain,1.7427,98.7792
70,Barcelos,PT,74.91,few clouds,41.5388,-8.6151
71,Griffith,US,68.9,clear sky,41.5284,-87.4237
72,Santa Maria,BR,66.56,overcast clouds,-29.6842,-53.8069
73,Boyolangu,ID,74.48,broken clouds,-8.1181,111.8935
74,Quang Ngai,VN,77.79,few clouds,15.1167,108.8
75,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285
76,Alyangula,AU,76.37,few clouds,-13.8483,136.4192
77,Taiyuan,CN,66.06,clear sky,37.8694,112.5603
78,Souris,CA,65.55,overcast clouds,49.6172,-100.2612
79,Tiarei,PF,75.22,few clouds,-17.5333,-149.3333
80,Bengkulu,ID,76.6,light rain,-3.8004,102.2655
81,Clarksburg,US,65.93,few clouds,39.2807,-80.3445
82,Charala,CO,75.02,scattered clouds,6.2858,-73.1472
83,Honiara,SB,77.11,broken clouds,-9.4333,159.95
84,Guerrero Negro,MX,69.46,overcast clouds,27.9769,-114.0611
85,Shingu,JP,73.31,overcast clouds,33.7333,135.9833
86,Makakilo City,US,75.56,clear sky,21.3469,-158.0858
87,Mega,ET,72.18,overcast clouds,4.05,38.3
88,Faya,SA,70.32,broken clouds,18.3851,42.4509
89,Ginir,ET,69.58,light rain,7.1333,40.7
90,Lengshuitan,CN,75.88,light rain,26.4111,111.5956
91,Cluses,FR,72.39,scattered clouds,46.0625,6.575
92,Santo Augusto,BR,72.39,scattered clouds,-27.8508,-53.7772
93,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781
94,Yingcheng,CN,70.03,light rain,30.95,113.55
95,Fayaoue,NC,72.63,overcast clouds,-20.65,166.5333
96,Gimli,CA,67.42,overcast clouds,50.6336,-96.9907
97,Huilong,CN,77.94,scattered clouds,31.8111,121.655
98,Sao Gabriel Da Cachoeira,BR,79.74,overcast clouds,-0.1303,-67.0892
99,Lakatoro,VU,76.77,overcast clouds,-16.0999,167.4164
100,Pierre,US,71.28,clear sky,44.3683,-100.351
101,Sawtell,AU,65.19,overcast clouds,-30.3833,153.1
102,Mackay,AU,71.69,overcast clouds,-21.15,149.2
103,San Juan,AR,73.72,clear sky,-31.5375,-68.5364
104,Lasa,IT,67.91,overcast clouds,46.6166,10.7002
105,Manta,EC,74.41,overcast clouds,-0.95,-80.7333
106,Hami,CN,72.27,scattered clouds,42.8,93.45
107,Kahului,US,76.84,broken clouds,20.8947,-156.47
108,Lazaro Cardenas,MX,77.11,overcast clouds,17.9583,-102.2
109,Devgarh,IN,77.31,scattered clouds,25.5333,73.9
110,Guamuchil,MX,76.75,clear sky,25.4667,-108.1
111,Tamandare,BR,79.36,broken clouds,-8.7597,-35.1047
112,Saldanha,ZA,66.85,clear sky,-33.0117,17.9442
113,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667
114,Aksu,CN,74.91,overcast clouds,41.1231,80.2644
115,Hervey Bay,AU,69.04,light rain,-25.2986,152.8535
116,Toba,JP,75.33,overcast clouds,34.4833,136.85
117,Saint-Leu,RE,74.26,scattered clouds,-21.15,55.2833
118,Agde,FR,78.84,clear sky,43.3108,3.4758
119,La Rioja,ES,67.05,overcast clouds,42.25,-2.5
120,Mahon,ES,75.76,few clouds,39.8885,4.2658
121,Athens,GR,79.16,few clouds,37.9795,23.7162
122,Mae Sai,TH,78.44,scattered clouds,20.4335,99.8762
123,Sola,VU,79.34,overcast clouds,-13.8833,167.55
124,Port-Gentil,GA,78.01,overcast clouds,-0.7193,8.7815
125,Fukue,JP,77.83,clear sky,32.6881,128.8419
126,Moron,AR,67.01,clear sky,-34.6534,-58.6198
127,Yatou,CN,65.16,light rain,37.15,122.3833
128,Nordfjordeid,NO,65.26,clear sky,61.9063,5.9915
129,Namatanai,PG,79.84,light rain,-3.6667,152.4333
130,Maua,BR,73.2,scattered clouds,-23.6678,-46.4614
131,Richards Bay,ZA,68.23,overcast clouds,-28.783,32.0377
132,Issoire,FR,67.26,broken clouds,45.55,3.25
133,Aranda De Duero,ES,70.72,few clouds,41.6704,-3.6892
134,Stephenville,US,70.14,clear sky,32.2207,-98.2023
135,Singaraja,ID,79.97,few clouds,-8.112,115.0882
136,Batang Berjuntai,MY,77.45,overcast clouds,3.3833,101.4167
137,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15
138,Maumere,ID,79.61,broken clouds,-8.6199,122.2111
139,Havelock,US,77.05,clear sky,34.8791,-76.9013
140,Camabatela,AO,75.04,light rain,-8.1881,15.375
141,Nueva Loja,EC,79.48,overcast clouds,0.0847,-76.8828
142,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452
143,Burdur,TR,75.9,scattered clouds,37.7203,30.2908
144,Lata,PT,77.49,clear sky,40.1629,-8.3327
145,Chivilcoy,AR,69.06,few clouds,-34.8957,-60.0167
146,Kupang,ID,79,few clouds,-10.1667,123.5833
147,Jalingo,NG,77.41,overcast clouds,8.8833,11.3667
148,Sulphur,US,73.4,mist,30.2366,-93.3774
149,Nabire,ID,77.83,overcast clouds,-3.3667,135.4833
150,Rawson,AR,68.05,scattered clouds,-43.3002,-65.1023
151,Sungaipenuh,ID,66.02,overcast clouds,-2.0833,101.3833
152,Tura,IN,72.55,overcast clouds,25.5198,90.2201
153,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667
154,Blacksburg,US,71.28,clear sky,37.2296,-80.4139
155,San Patricio,US,75.06,broken clouds,28.017,-97.5169
156,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625
157,Sechura,PE,68.68,clear sky,-5.5569,-80.8222
158,Clyde,US,65.59,clear sky,41.3042,-82.9752
159,Oyama,JP,76.59,scattered clouds,36.3,139.8
160,Brawley,US,69.49,clear sky,32.9787,-115.5303
161,Shahrud,IR,67.64,clear sky,36.4182,54.9763
162,Wucheng,CN,72.59,light rain,29.6008,118.175
163,Villa Constitucion,AR,68.99,clear sky,-33.2278,-60.3297
164,Antofagasta,CL,67.21,clear sky,-23.65,-70.4
165,Kerema,PG,78.84,overcast clouds,-7.9631,145.7785
166,Gaya,IN,77.23,scattered clouds,24.7833,85
167,Dodge City,US,67.24,few clouds,37.7528,-100.0171
168,Saint-Francois,FR,67.44,broken clouds,46.4154,3.9054
169,Nador,MA,73.65,clear sky,35.174,-2.9287
170,Karratha,AU,77.22,clear sky,-20.7377,116.8463
171,Bemidji,US,65.64,clear sky,47.4736,-94.8803
172,Byron Bay,AU,69.75,moderate rain,-28.65,153.6167
173,Vao,NC,69.6,overcast clouds,-22.6667,167.4833
174,Daru,PG,78.48,broken clouds,-9.0763,143.2092
175,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986
176,Viedma,AR,66.4,scattered clouds,-40.8135,-62.9967
177,Tarata,BO,69.67,clear sky,-17.6167,-66.0167
178,Bitung,ID,77.85,overcast clouds,1.4451,125.1824
179,Ranong,TH,79.25,broken clouds,9.9658,98.6348
180,Christiana,ZA,66.6,overcast clouds,-27.914,25.1611
181,Buin,CL,72.05,overcast clouds,-33.7333,-70.75
182,Reconquista,AR,71.85,overcast clouds,-29.15,-59.65
183,Denham Springs,US,78.66,scattered clouds,30.4869,-90.9562
184,Kushima,JP,74.14,broken clouds,31.4583,131.2333
185,Namie,JP,66.54,clear sky,37.4833,141
186,Pangkalanbuun,ID,76.28,light rain,-2.6833,111.6167
187,Mnisek Pod Brdy,CZ,66.2,overcast clouds,49.8665,14.2618
188,Nakamura,JP,72.39,broken clouds,32.9833,132.9333
189,Chiang Rai,TH,79.12,broken clouds,19.9167,99.9167
190,Vaitape,PF,78.31,few clouds,-16.5167,-151.75
191,Ankang,CN,67.17,clear sky,32.68,109.0172
192,Onda,ES,79.9,overcast clouds,39.9667,-0.25
193,Kusu,JP,75.25,clear sky,33.2831,131.1514
194,Neiafu,TO,77.68,light rain,-18.65,-173.9833
195,General Roca,AR,66.79,clear sky,-39.0333,-67.5833
196,Parasia,IN,72.09,few clouds,22.2,78.7667
197,Pyapon,MM,79.27,few clouds,16.2833,95.6833
198,Yabelo,ET,67.19,overcast clouds,4.8833,38.0833
199,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225
200,Cap Malheureux,MU,74.46,few clouds,-19.9842,57.6142
201,Jinotega,NI,71.1,broken clouds,13.0917,-86.0018
202,Nandikotkur,IN,79.47,broken clouds,15.8667,78.2667
203,Dawei,MM,78.49,scattered clouds,14.0833,98.2
204,Talara,PE,69.64,few clouds,-4.5772,-81.2719
205,Nanma,CN,66.13,light rain,36.1817,118.1583
206,Noumea,NC,66.18,scattered clouds,-22.2763,166.4572
207,Pochutla,MX,75.81,scattered clouds,15.7432,-96.4661
208,Dingle,PH,77.92,overcast clouds,10.9995,122.6711
